"filename", "language", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\bobs_tongue.lua", "Lua", 38, 0, 0, 9, 47
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\bombshell.lua", "Lua", 35, 0, 0, 5, 40
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\cursed_pendant.lua", "Lua", 37, 0, 0, 7, 44
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\deep_gesture.lua", "Lua", 40, 0, 0, 5, 45
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\godmode.lua", "Lua", 68, 0, 9, 15, 92
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\marble_pop.lua", "Lua", 17, 0, 0, 2, 19
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\mood_ring_black.lua", "Lua", 21, 0, 0, 3, 24
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\mood_ring_blue.lua", "Lua", 63, 0, 0, 7, 70
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\mood_ring_red.lua", "Lua", 22, 0, 0, 3, 25
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\mood_ring_yellow.lua", "Lua", 22, 0, 0, 3, 25
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\moonrock.lua", "Lua", 29, 0, 0, 6, 35
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\snack_lock.lua", "Lua", 18, 0, 0, 2, 20
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trinkets\snapped_cross.lua", "Lua", 48, 0, 1, 5, 54
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\trophy_sword.lua", "Lua", 60, 0, 0, 7, 67
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\uncommon_cough.lua", "Lua", 192, 0, 11, 42, 245
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\vajra.lua", "Lua", 34, 0, 0, 4, 38
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\war_banner.lua", "Lua", 71, 0, 0, 10, 81
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\wings_of_betrayal.lua", "Lua", 57, 0, 0, 12, 69
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsterlist.lua", "Lua", 120, 0, 7, 8, 135
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\arch_bishop.lua", "Lua", 215, 0, 0, 29, 244
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\barfer.lua", "Lua", 69, 0, 1, 13, 83
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\big_dipper.lua", "Lua", 84, 0, 0, 13, 97
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\blind.lua", "Lua", 73, 0, 2, 8, 83
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\blood_baby.lua", "Lua", 48, 0, 1, 6, 55
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\bloody_gabriel.lua", "Lua", 40, 0, 5, 3, 48
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\adramolech.lua", "Lua", 26, 0, 4, 2, 32
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\bathemo.lua", "Lua", 60, 0, 2, 12, 74
